,state,expend,year
3,Arizona,5410,2007
4,Arkansas,5766,2007
5,California,5776,2007
6,Colorado,5522,2007
7,Connecticut,7793,2007
8,Delaware,7726,2007
9,District of Columbia,9562,2007
10,Florida,6585,2007
11,Georgia,5329,2007
12,Hawaii,6098,2007
13,Idaho,5309,2007
14,Illinois,6454,2007
15,Indiana,6279,2007
16,Iowa,6444,2007
17,Kansas,6352,2007
18,Kentucky,6201,2007
19,Louisiana,6292,2007
20,Maine,7718,2007
21,Maryland,6907,2007
22,Massachusetts,8638,2007
23,Michigan,6254,2007
24,Minnesota,7038,2007
25,Mississippi,6175,2007
26,Missouri,6323,2007
27,Montana,6083,2007
28,Nebraska,6663,2007
29,Nevada,5430,2007
30,New Hampshire,7194,2007
31,New Jersey,7098,2007
32,New Mexico,5572,2007
33,New York,7872,2007
34,North Carolina,6014,2007
35,North Dakota,7010,2007
36,Ohio,6660,2007
37,Oklahoma,6033,2007
38,Oregon,5981,2007
39,Pennsylvania,7246,2007
40,Rhode Island,7751,2007
41,South Carolina,5889,2007
42,South Dakota,6579,2007
43,Tennessee,6219,2007
44,Texas,5495,2007
45,Utah,4799,2007
46,Vermont,7295,2007
47,Virginia,5776,2007
48,Washington,6128,2007
49,West Virginia,7086,2007
50,Wisconsin,6867,2007
51,Wyoming,6545,2007
0,United States,6048,2006
1,Alabama,5755,2006
2,Alaska,7476,2006
3,Arizona,5103,2006
4,Arkansas,5469,2006
5,California,5397,2006
6,Colorado,5264,2006
7,Connecticut,7391,2006
8,Delaware,7315,2006
9,District of Columbia,9003,2006
10,Florida,6284,2006
11,Georgia,5148,2006
12,Hawaii,5555,2006
13,Idaho,5057,2006
14,Illinois,6034,2006
15,Indiana,5986,2006
16,Iowa,6173,2006
17,Kansas,6040,2006
18,Kentucky,5977,2006
19,Louisiana,5944,2006
20,Maine,7374,2006
21,Maryland,6530,2006
22,Massachusetts,8056,2006
23,Michigan,5924,2006
24,Minnesota,6663,2006
25,Mississippi,5792,2006
26,Missouri,5812,2006
27,Montana,5743,2006
28,Nebraska,6374,2006
29,Nevada,5150,2006
30,New Hampshire,6733,2006
31,New Jersey,6727,2006
32,New Mexico,5258,2006
33,New York,7518,2006
34,North Carolina,5853,2006
35,North Dakota,6573,2006
36,Ohio,6387,2006
37,Oklahoma,5680,2006
38,Oregon,5742,2006
39,Pennsylvania,6880,2006
40,Rhode Island,7351,2006
41,South Carolina,5654,2006
42,South Dakota,6257,2006
43,Tennessee,5950,2006
44,Texas,5276,2006
45,Utah,4581,2006
46,Vermont,6934,2006
47,Virginia,5462,2006
48,Washington,5729,2006
49,West Virginia,6706,2006
50,Wisconsin,6539,2006
51,Wyoming,6145,2006
0,United States,5740,2005
1,Alabama,5545,2005
2,Alaska,7145,2005
3,Arizona,4828,2005
4,Arkansas,5254,2005
5,California,5107,2005
6,Colorado,4937,2005
7,Connecticut,6997,2005
8,Delaware,6980,2005
9,District of Columbia,8764,2005
10,Florida,5957,2005
11,Georgia,4891,2005
12,Hawaii,5389,2005
13,Idaho,4799,2005
14,Illinois,5690,2005
15,Indiana,5637,2005
16,Iowa,5816,2005
17,Kansas,5786,2005
18,Kentucky,5668,2005
19,Louisiana,5433,2005
20,Maine,7001,2005
21,Maryland,6064,2005
22,Massachusetts,7484,2005
23,Michigan,5528,2005
24,Minnesota,6332,2005
25,Mississippi,5387,2005
26,Missouri,5674,2005
27,Montana,5432,2005
28,Nebraska,5956,2005
29,Nevada,4932,2005
30,New Hampshire,6271,2005
31,New Jersey,6434,2005
32,New Mexico,5021,2005
33,New York,7096,2005
34,North Carolina,5559,2005
35,North Dakota,6205,2005
36,Ohio,6125,2005
37,Oklahoma,5366,2005
38,Oregon,5395,2005
39,Pennsylvania,6596,2005
40,Rhode Island,7020,2005
41,South Carolina,5403,2005
42,South Dakota,5885,2005
43,Tennessee,5773,2005
44,Texas,5060,2005
45,Utah,4399,2005
46,Vermont,6568,2005
47,Virginia,5167,2005
48,Washington,5450,2005
49,West Virginia,6396,2005
50,Wisconsin,6144,2005
51,Wyoming,5683,2005
0,United States,5423,2004
1,Alabama,5252,2004
2,Alaska,6455,2004
3,Arizona,4387,2004
4,Arkansas,4899,2004
5,California,4781,2004
6,Colorado,4831,2004
7,Connecticut,6739,2004
8,Delaware,6618,2004
9,District of Columbia,8394,2004
10,Florida,5690,2004
11,Georgia,4732,2004
12,Hawaii,5018,2004
13,Idaho,4492,2004
14,Illinois,5362,2004
15,Indiana,5407,2004
16,Iowa,5486,2004
17,Kansas,5489,2004
18,Kentucky,5405,2004
19,Louisiana,5262,2004
20,Maine,6580,2004
21,Maryland,5737,2004
22,Massachusetts,7029,2004
23,Michigan,5239,2004
24,Minnesota,6025,2004
25,Mississippi,5091,2004
26,Missouri,5453,2004
27,Montana,5061,2004
28,Nebraska,5596,2004
29,Nevada,4701,2004
30,New Hampshire,5732,2004
31,New Jersey,6006,2004
32,New Mexico,4603,2004
33,New York,6783,2004
34,North Carolina,5265,2004
35,North Dakota,5880,2004
36,Ohio,5793,2004
37,Oklahoma,4971,2004
38,Oregon,5034,2004
39,Pennsylvania,6191,2004
40,Rhode Island,6498,2004
41,South Carolina,5138,2004
42,South Dakota,5425,2004
43,Tennessee,5523,2004
44,Texas,4679,2004
45,Utah,4144,2004
46,Vermont,6134,2004
47,Virginia,4878,2004
48,Washington,5127,2004
49,West Virginia,6034,2004
50,Wisconsin,5782,2004
51,Wyoming,5287,2004
0,United States,5094,2003
1,Alabama,4994,2003
2,Alaska,6099,2003
3,Arizona,4077,2003
4,Arkansas,4616,2003
5,California,4489,2003
6,Colorado,4569,2003
7,Connecticut,6226,2003
8,Delaware,6164,2003
9,District of Columbia,7661,2003
10,Florida,5336,2003
11,Georgia,4358,2003
12,Hawaii,4750,2003
13,Idaho,4252,2003
14,Illinois,5080,2003
15,Indiana,5028,2003
16,Iowa,5211,2003
17,Kansas,5149,2003
18,Kentucky,5086,2003
19,Louisiana,4917,2003
20,Maine,6086,2003
21,Maryland,5380,2003
22,Massachusetts,6606,2003
23,Michigan,4867,2003
24,Minnesota,5692,2003
25,Mississippi,4708,2003
26,Missouri,5193,2003
27,Montana,4795,2003
28,Nebraska,5223,2003
29,Nevada,4398,2003
30,New Hampshire,5227,2003
31,New Jersey,5679,2003
32,New Mexico,4218,2003
33,New York,6388,2003
34,North Carolina,4900,2003
35,North Dakota,5524,2003
36,Ohio,5429,2003
37,Oklahoma,4751,2003
38,Oregon,4677,2003
39,Pennsylvania,5813,2003
40,Rhode Island,6026,2003
41,South Carolina,4834,2003
42,South Dakota,5180,2003
43,Tennessee,5093,2003
44,Texas,4451,2003
45,Utah,3859,2003
46,Vermont,5739,2003
47,Virginia,4539,2003
48,Washington,4867,2003
49,West Virginia,5643,2003
50,Wisconsin,5409,2003
51,Wyoming,4990,2003
0,United States,4755,2002
1,Alabama,4511,2002
2,Alaska,5669,2002
3,Arizona,3779,2002
4,Arkansas,4360,2002
5,California,4126,2002
6,Colorado,4259,2002
7,Connecticut,5944,2002
8,Delaware,5535,2002
9,District of Columbia,7185,2002
10,Florida,5027,2002
11,Georgia,4135,2002
12,Hawaii,4407,2002
13,Idaho,4008,2002
14,Illinois,4795,2002
15,Indiana,4662,2002
16,Iowa,4844,2002
17,Kansas,4853,2002
18,Kentucky,4828,2002
19,Louisiana,4561,2002
20,Maine,5580,2002
21,Maryland,4985,2002
22,Massachusetts,6127,2002
23,Michigan,4551,2002
24,Minnesota,5319,2002
25,Mississippi,4415,2002
26,Missouri,4855,2002
27,Montana,4463,2002
28,Nebraska,4873,2002
29,Nevada,4094,2002
30,New Hampshire,4818,2002
31,New Jersey,5387,2002
32,New Mexico,3992,2002
33,New York,5884,2002
34,North Carolina,4578,2002
35,North Dakota,5324,2002
36,Ohio,5048,2002
37,Oklahoma,4360,2002
38,Oregon,4399,2002
39,Pennsylvania,5413,2002
40,Rhode Island,5607,2002
41,South Carolina,4549,2002
42,South Dakota,4834,2002
43,Tennessee,4702,2002
44,Texas,4256,2002
45,Utah,3610,2002
46,Vermont,5169,2002
47,Virginia,4186,2002
48,Washington,4528,2002
49,West Virginia,5258,2002
50,Wisconsin,5085,2002
51,Wyoming,4692,2002
0,United States,4428,2001
1,Alabama,4168,2001
2,Alaska,5169,2001
3,Arizona,3438,2001
4,Arkansas,4030,2001
5,California,3838,2001
6,Colorado,3992,2001
7,Connecticut,5560,2001
8,Delaware,5091,2001
9,District of Columbia,6663,2001
10,Florida,4745,2001
11,Georgia,3806,2001
12,Hawaii,4104,2001
13,Idaho,3651,2001
14,Illinois,4465,2001
15,Indiana,4344,2001
16,Iowa,4574,2001
17,Kansas,4556,2001
18,Kentucky,4473,2001
19,Louisiana,4289,2001
20,Maine,5129,2001
21,Maryland,4604,2001
22,Massachusetts,5628,2001
23,Michigan,4287,2001
24,Minnesota,4898,2001
25,Mississippi,4087,2001
26,Missouri,4467,2001
27,Montana,4208,2001
28,Nebraska,4562,2001
29,Nevada,3717,2001
30,New Hampshire,4522,2001
31,New Jersey,4990,2001
32,New Mexico,3717,2001
33,New York,5480,2001
34,North Carolina,4363,2001
35,North Dakota,4836,2001
36,Ohio,4661,2001
37,Oklahoma,4106,2001
38,Oregon,4155,2001
39,Pennsylvania,5091,2001
40,Rhode Island,5188,2001
41,South Carolina,4238,2001
42,South Dakota,4379,2001
43,Tennessee,4494,2001
44,Texas,3941,2001
45,Utah,3293,2001
46,Vermont,4722,2001
47,Virginia,3857,2001
48,Washington,4171,2001
49,West Virginia,4887,2001
50,Wisconsin,4752,2001
51,Wyoming,4270,2001
0,United States,4118,2000
1,Alabama,3932,2000
2,Alaska,4566,2000
3,Arizona,3226,2000
4,Arkansas,3737,2000
5,California,3578,2000
6,Colorado,3769,2000
7,Connecticut,5185,2000
8,Delaware,4782,2000
9,District of Columbia,6313,2000
10,Florida,4461,2000
11,Georgia,3606,2000
12,Hawaii,3883,2000
13,Idaho,3394,2000
14,Illinois,4187,2000
15,Indiana,4026,2000
16,Iowa,4254,2000
17,Kansas,4247,2000
18,Kentucky,4172,2000
19,Louisiana,4048,2000
20,Maine,4715,2000
21,Maryland,4239,2000
22,Massachusetts,5200,2000
23,Michigan,4048,2000
24,Minnesota,4524,2000
25,Mississippi,3728,2000
26,Missouri,4177,2000
27,Montana,3858,2000
28,Nebraska,4143,2000
29,Nevada,3448,2000
30,New Hampshire,4245,2000
31,New Jersey,4741,2000
32,New Mexico,3459,2000
33,New York,5086,2000
34,North Carolina,3957,2000
35,North Dakota,4418,2000
36,Ohio,4226,2000
37,Oklahoma,3765,2000
38,Oregon,3752,2000
39,Pennsylvania,4735,2000
40,Rhode Island,4810,2000
41,South Carolina,3862,2000
42,South Dakota,4161,2000
43,Tennessee,4104,2000
44,Texas,3656,2000
45,Utah,3031,2000
46,Vermont,4342,2000
47,Virginia,3671,2000
48,Washington,3870,2000
49,West Virginia,4471,2000
50,Wisconsin,4311,2000
51,Wyoming,3960,2000
0,United States,3893,1999
1,Alabama,3714,1999
2,Alaska,4112,1999
3,Arizona,3095,1999
4,Arkansas,3547,1999
5,California,3464,1999
6,Colorado,3494,1999
7,Connecticut,4957,1999
8,Delaware,4567,1999
9,District of Columbia,6275,1999
10,Florida,4157,1999
11,Georgia,3457,1999
12,Hawaii,3776,1999
13,Idaho,3177,1999
14,Illinois,3936,1999
15,Indiana,3804,1999
16,Iowa,4024,1999
17,Kansas,4004,1999
18,Kentucky,3835,1999
19,Louisiana,3909,1999
20,Maine,4424,1999
21,Maryland,3994,1999
22,Massachusetts,4909,1999
23,Michigan,3845,1999
24,Minnesota,4201,1999
25,Mississippi,3434,1999
26,Missouri,3906,1999
27,Montana,3592,1999
28,Nebraska,3790,1999
29,Nevada,3230,1999
30,New Hampshire,4015,1999
31,New Jersey,4382,1999
32,New Mexico,3320,1999
33,New York,4855,1999
34,North Carolina,3670,1999
35,North Dakota,4165,1999
36,Ohio,3954,1999
37,Oklahoma,3569,1999
38,Oregon,3565,1999
39,Pennsylvania,4458,1999
40,Rhode Island,4514,1999
41,South Carolina,3634,1999
42,South Dakota,3954,1999
43,Tennessee,3849,1999
44,Texas,3496,1999
45,Utah,2795,1999
46,Vermont,3950,1999
47,Virginia,3387,1999
48,Washington,3681,1999
49,West Virginia,4234,1999
50,Wisconsin,4008,1999
51,Wyoming,3626,1999
0,United States,3720,1998
1,Alabama,3601,1998
2,Alaska,3848,1998
3,Arizona,2962,1998
4,Arkansas,3356,1998
5,California,3372,1998
6,Colorado,3350,1998
7,Connecticut,4738,1998
8,Delaware,4201,1998
9,District of Columbia,6124,1998
10,Florida,3975,1998
11,Georgia,3367,1998
12,Hawaii,3659,1998
13,Idaho,3019,1998
14,Illinois,3788,1998
15,Indiana,3596,1998
16,Iowa,3809,1998
17,Kansas,3785,1998
18,Kentucky,3597,1998
19,Louisiana,3723,1998
20,Maine,4091,1998
21,Maryland,3754,1998
22,Massachusetts,4810,1998
23,Michigan,3698,1998
24,Minnesota,4008,1998
25,Mississippi,3328,1998
26,Missouri,3726,1998
27,Montana,3349,1998
28,Nebraska,3554,1998
29,Nevada,3073,1998
30,New Hampshire,3769,1998
31,New Jersey,4224,1998
32,New Mexico,3172,1998
33,New York,4617,1998
34,North Carolina,3441,1998
35,North Dakota,4023,1998
36,Ohio,3759,1998
37,Oklahoma,3401,1998
38,Oregon,3391,1998
39,Pennsylvania,4187,1998
40,Rhode Island,4325,1998
41,South Carolina,3425,1998
42,South Dakota,3657,1998
43,Tennessee,3716,1998
44,Texas,3329,1998
45,Utah,2765,1998
46,Vermont,3618,1998
47,Virginia,3245,1998
48,Washington,3422,1998
49,West Virginia,4045,1998
50,Wisconsin,3707,1998
51,Wyoming,3444,1998
0,United States,3556,1997
1,Alabama,3540,1997
2,Alaska,3654,1997
3,Arizona,2833,1997
4,Arkansas,3227,1997
5,California,3192,1997
6,Colorado,3129,1997
7,Connecticut,4463,1997
8,Delaware,4027,1997
9,District of Columbia,5943,1997
10,Florida,3866,1997
11,Georgia,3250,1997
12,Hawaii,3518,1997
13,Idaho,2857,1997
14,Illinois,3623,1997
15,Indiana,3395,1997
16,Iowa,3522,1997
17,Kansas,3578,1997
18,Kentucky,3424,1997
19,Louisiana,3601,1997
20,Maine,3787,1997
21,Maryland,3702,1997
22,Massachusetts,4513,1997
23,Michigan,3625,1997
24,Minnesota,3703,1997
25,Mississippi,3222,1997
26,Missouri,3514,1997
27,Montana,3157,1997
28,Nebraska,3333,1997
29,Nevada,2954,1997
30,New Hampshire,3527,1997
31,New Jersey,4027,1997
32,New Mexico,3063,1997
33,New York,4378,1997
34,North Carolina,3339,1997
35,North Dakota,3769,1997
36,Ohio,3631,1997
37,Oklahoma,3265,1997
38,Oregon,3092,1997
39,Pennsylvania,4026,1997
40,Rhode Island,4083,1997
41,South Carolina,3284,1997
42,South Dakota,3487,1997
